ID,Epic,Module,User Story,Actor,Loại FP,Độ phức tạp,Function Points
EP01-001,"EPIC-01
Hiển thị & Tương tác Bản đồ",Bản đồ nền,"Là người dùng, tôi muốn xem bản đồ nền mặc định khi đăng nhập để bắt đầu làm việc ngay.",Người dùng,EQ,Simple,3
EP01-002,"EPIC-01
Hiển thị & Tương tác Bản đồ",Bản đồ nền,"Là người dùng, tôi muốn chuyển đổi giữa OSM, vệ tinh và địa hình để lựa chọn nền phù hợp với ngữ cảnh.",Người dùng,EQ,Average,4
EP01-003,"EPIC-01
Hiển thị & Tương tác Bản đồ",Bản đồ nền,"Là người dùng, tôi muốn phóng to/thu nhỏ bản đồ mượt ở nhiều mức zoom để quan sát đúng khu vực cần xem.",Người dùng,EQ,Average,4
EP01-004,"EPIC-01
Hiển thị & Tương tác Bản đồ",Bản đồ nền,"Là người dùng, tôi muốn di chuyển bản đồ bằng kéo thả để khám phá khu vực làm việc thuận tiện.",Người dùng,EQ,Simple,3
EP01-005,"EPIC-01
Hiển thị & Tương tác Bản đồ",Bản đồ nền,"Là người dùng, tôi muốn hệ thống ghi nhớ lớp nền đã chọn ở lần truy cập trước để tiết kiệm thao tác.",Người dùng,EI,Simple,3
EP01-006,"EPIC-01
Hiển thị & Tương tác Bản đồ",Bản đồ nền,"Là người dùng, tôi muốn xem chú giải hoặc thông tin nguồn dữ liệu của lớp nền để hiểu độ tin cậy bản đồ.",Người dùng,EO,Average,5
EP01-007,"EPIC-01
Hiển thị & Tương tác Bản đồ",Bản đồ nền,"Là người dùng, tôi muốn đặt lớp nền mặc định theo đơn vị hoặc nhóm người dùng để phù hợp nghiệp vụ.",Người dùng,EI,Average,4
EP01-008,"EPIC-01
Hiển thị & Tương tác Bản đồ",Bản đồ nền,"Là người dùng, tôi muốn giới hạn mức zoom theo từng lớp nền để tránh hiển thị sai hoặc mờ dữ liệu.",Người dùng,EI,Complex,6
EP01-009,"EPIC-01
Hiển thị & Tương tác Bản đồ",Bản đồ nền,"Là người dùng, tôi muốn hệ thống tự chuyển lớp nền khi một nguồn tạm thời không khả dụng để không gián đoạn công việc.",Người dùng,EO,Complex,7
EP01-010,"EPIC-01
Hiển thị & Tương tác Bản đồ",Bản đồ nền,"Là người dùng, tôi muốn xem tọa độ con trỏ khi rê chuột trên bản đồ nền để định vị chính xác.",Người dùng,EO,Average,5
EP01-011,"EPIC-01
Hiển thị & Tương tác Bản đồ",Bản đồ nền,"Là người dùng, tôi muốn hiển thị tỷ lệ bản đồ và thước tỷ lệ để ước lượng khoảng cách trực quan.",Người dùng,EO,Simple,4
EP01-012,"EPIC-01
Hiển thị & Tương tác Bản đồ",Bản đồ nền,"Là người dùng, tôi muốn tải lại các tile bản đồ nền khi mạng chập chờn để bảo đảm màn hình luôn đầy đủ.",Người dùng,EIF,Average,7
EP01-013,"EPIC-01
Hiển thị & Tương tác Bản đồ",Bản đồ nền,"Là người dùng, tôi muốn cấu hình domain tile hoặc khóa dịch vụ nền để quản trị tích hợp linh hoạt.",Người dùng,EI,Complex,6
EP01-014,"EPIC-01
Hiển thị & Tương tác Bản đồ",Bản đồ nền,"Là người dùng, tôi muốn bật chế độ toàn màn hình khi xem bản đồ nền để có không gian quan sát lớn hơn.",Người dùng,EQ,Simple,3
EP01-015,"EPIC-01
Hiển thị & Tương tác Bản đồ",Bản đồ nền,"Là người dùng, tôi muốn hỗ trợ bản đồ nền tiếng Việt để đọc tên đường và địa danh dễ dàng hơn.",Người dùng,EIF,Average,7
EP01-016,"EPIC-01
Hiển thị & Tương tác Bản đồ",Bản đồ nền,"Là người dùng, tôi muốn theo dõi trạng thái kết nối từng nguồn bản đồ nền để chủ động xử lý lỗi tích hợp.",Người dùng,EO,Average,5
EP01-017,"EPIC-01
Hiển thị & Tương tác Bản đồ",Bản đồ nền,"Là người dùng, tôi muốn cache bản đồ nền của khu vực thường dùng để tăng tốc độ hiển thị.",Người dùng,EIF,Complex,10
EP01-018,"EPIC-01
Hiển thị & Tương tác Bản đồ",Quản lý lớp dữ liệu,"Là người dùng, tôi muốn xem danh sách lớp dữ liệu hiện có để lựa chọn lớp cần hiển thị.",Người dùng,EQ,Average,4
EP01-019,"EPIC-01
Hiển thị & Tương tác Bản đồ",Quản lý lớp dữ liệu,"Là người dùng, tôi muốn bật/tắt từng lớp dữ liệu trên bản đồ để tập trung vào thông tin cần thiết.",Người dùng,EI,Simple,3
EP01-020,"EPIC-01
Hiển thị & Tương tác Bản đồ",Quản lý lớp dữ liệu,"Là người dùng, tôi muốn kéo thả thay đổi thứ tự lớp dữ liệu để ưu tiên lớp quan trọng ở phía trên.",Người dùng,EI,Average,4
EP01-021,"EPIC-01
Hiển thị & Tương tác Bản đồ",Quản lý lớp dữ liệu,"Là người dùng, tôi muốn điều chỉnh độ trong suốt của lớp dữ liệu để xem chồng lấp với lớp khác rõ hơn.",Người dùng,EI,Average,4
EP01-022,"EPIC-01
Hiển thị & Tương tác Bản đồ",Quản lý lớp dữ liệu,"Là người dùng, tôi muốn bật/tắt đồng thời theo nhóm lớp để thao tác nhanh trên nhiều lớp liên quan.",Người dùng,EI,Average,4
EP01-023,"EPIC-01
Hiển thị & Tương tác Bản đồ",Quản lý lớp dữ liệu,"Là người dùng, tôi muốn tìm kiếm lớp dữ liệu theo tên để truy xuất nhanh trong danh sách dài.",Người dùng,EQ,Simple,3
EP01-024,"EPIC-01
Hiển thị & Tương tác Bản đồ",Quản lý lớp dữ liệu,"Là người dùng, tôi muốn xem chú giải và kiểu hiển thị của từng lớp để hiểu ý nghĩa dữ liệu trên bản đồ.",Người dùng,EO,Average,5
EP01-025,"EPIC-01
Hiển thị & Tương tác Bản đồ",Quản lý lớp dữ liệu,"Là người dùng, tôi muốn lưu bộ lớp thường dùng thành preset để mở lại nhanh cho từng nghiệp vụ.",Người dùng,EI,Complex,6
EP01-026,"EPIC-01
Hiển thị & Tương tác Bản đồ",Quản lý lớp dữ liệu,"Là người dùng, tôi muốn đặt ngưỡng zoom hiển thị cho từng lớp để tránh bản đồ bị rối.",Người dùng,EI,Complex,6
EP01-027,"EPIC-01
Hiển thị & Tương tác Bản đồ",Quản lý lớp dữ liệu,"Là người dùng, tôi muốn xem trạng thái tải của từng lớp để biết lớp nào đang lỗi hoặc tải chậm.",Người dùng,EO,Average,5
EP01-028,"EPIC-01
Hiển thị & Tương tác Bản đồ",Quản lý lớp dữ liệu,"Là người dùng, tôi muốn nạp dữ liệu lớp từ dịch vụ WMS/WMTS/GeoJSON để mở rộng nguồn hiển thị.",Người dùng,EIF,Complex,10
EP01-029,"EPIC-01
Hiển thị & Tương tác Bản đồ",Quản lý lớp dữ liệu,"Là người dùng, tôi muốn refresh lớp dữ liệu khi nguồn thay đổi để luôn xem thông tin mới nhất.",Người dùng,EIF,Average,7
EP01-030,"EPIC-01
Hiển thị & Tương tác Bản đồ",Quản lý lớp dữ liệu,"Là người dùng, tôi muốn lưu cấu hình sử dụng gần nhất của Quản lý lớp dữ liệu để làm việc nhanh hơn trong lần sau.",Người dùng,EI,Simple,3
EP01-031,"EPIC-01
Hiển thị & Tương tác Bản đồ",Quản lý lớp dữ liệu,"Là người dùng, tôi muốn xem lịch sử thao tác trong Quản lý lớp dữ liệu để truy vết thay đổi khi cần.",Người dùng,EO,Average,5
EP01-032,"EPIC-01
Hiển thị & Tương tác Bản đồ",Quản lý lớp dữ liệu,"Là người dùng, tôi muốn export dữ liệu/kết quả từ Quản lý lớp dữ liệu để chia sẻ cho bên liên quan.",Người dùng,EO,Average,5
EP01-033,"EPIC-01
Hiển thị & Tương tác Bản đồ",Quản lý lớp dữ liệu,"Là người dùng, tôi muốn phân quyền sử dụng Quản lý lớp dữ liệu theo vai trò để đảm bảo an toàn dữ liệu.",Người dùng,EI,Complex,6
EP01-034,"EPIC-01
Hiển thị & Tương tác Bản đồ",Quản lý lớp dữ liệu,"Là người dùng, tôi muốn nhận cảnh báo khi Quản lý lớp dữ liệu phát sinh lỗi để xử lý kịp thời.",Người dùng,EO,Complex,7
EP01-035,"EPIC-01
Hiển thị & Tương tác Bản đồ",Hiển thị tài sản trên bản đồ,"Là người dùng, tôi muốn hiển thị tài sản bằng icon phân loại trên bản đồ để dễ nhận biết loại đối tượng.",Người dùng,EO,Average,5
EP01-036,"EPIC-01
Hiển thị & Tương tác Bản đồ",Hiển thị tài sản trên bản đồ,"Là người dùng, tôi muốn click vào tài sản để xem popup thông tin tóm tắt ngay trên bản đồ.",Người dùng,EQ,Average,4
EP01-037,"EPIC-01
Hiển thị & Tương tác Bản đồ",Hiển thị tài sản trên bản đồ,"Là người dùng, tôi muốn mở trang chi tiết từ popup tài sản để xem đầy đủ hồ sơ liên quan.",Người dùng,EO,Average,5
EP01-038,"EPIC-01
Hiển thị & Tương tác Bản đồ",Hiển thị tài sản trên bản đồ,"Là người dùng, tôi muốn thay đổi biểu tượng theo trạng thái tài sản để nhận diện nhanh đối tượng cần chú ý.",Người dùng,EI,Average,4
